date,close,start,high,low,volume
2013-11-15,264.2,260.48,264.33,260.47,70.12
2013-11-14,258.44,260.53,260.79,258.11,68.23
2013-11-13,258.04,262.42,262.45,258.04,59.29
2013-11-12,262.81,261.21,263.57,261.13,58.73
2013-11-11,260.15,262.14,262.14,259.49,54.85
2013-11-08,260.53,260.97,262.58,260.53,64.73
2013-11-07,263.34,264.71,265.12,262.71,59.12
2013-11-06,264.62,265.16,266.19,264.31,58.31
2013-11-05,264.96,266.98,267.3,264.37,61.08
2013-11-04,266.59,267.88,268.01,266.2,57.55
2013-11-01,268.63,268.06,268.83,267.23,53.92
2013-10-31,266.91,270.13,270.81,266.88,66.8
2013-10-30,271.44,270.72,271.44,269.13,58.68
2013-10-29,270.28,269.5,270.6,268.5,64.06
2013-10-28,269.74,267.96,269.77,267.21,70.68
2013-10-25,267.51,269.42,269.42,266.01,66.3
2013-10-24,269.36,267.85,269.36,266.75,59.14
2013-10-23,268.03,271.96,272.06,268,105.49
2013-10-22,271.11,270.75,271.13,269.71,84.12
2013-10-21,271.22,271.55,272.56,270.56,62.48
2013-10-18,271.24,270.51,271.25,269.7,73.41
2013-10-17,269.59,270.6,270.76,268.9,93.65
2013-10-16,268.25,268.92,270.3,268.19,73.54
2013-10-15,269.02,267.87,269.53,267.87,68.33
2013-10-14,265.81,266.52,266.77,265.81,69.32
2013-10-11,266.35,265.19,266.81,264.41,91.6
2013-10-10,262.9,262.83,264.16,262.39,73.05
2013-10-08,263.14,260.95,263.15,260.09,73.86
2013-10-07,261.85,261.93,262.76,261.38,64.71
2013-10-04,261.78,262.27,263.04,260.25,74.14
2013-10-02,261.87,263.42,263.57,261.66,73.52
2013-10-01,261.48,261.08,263.29,260.55,70.91
2013-09-30,260.91,261.56,262.3,260.55,65.54
2013-09-27,262.94,263.34,263.65,262.66,91.12
2013-09-26,262.68,260.59,262.68,260.47,81.54
2013-09-25,261.45,262.42,262.76,260.23,104.13
2013-09-24,262.83,261.85,263.43,260.42,108.56
2013-09-23,263.02,261.64,263.92,260.76,80.45
2013-09-17,262.56,263.19,263.39,261.06,71.06
2013-09-16,263.86,263.4,264.38,262.53,74.98
2013-09-13,260.83,260.99,262.38,260.52,77.93
2013-09-12,262.32,262.4,264.27,261.1,98.84
2013-09-11,262.38,261.38,262.38,260.13,86.14
2013-09-10,261.2,258.62,261.2,258.53,89.52
2013-09-09,258.12,256.48,258.12,256.27,76.07
2013-09-06,255.25,255.01,256.24,254.19,82.37
2013-09-05,254.62,253.68,255.12,252.79,76.58
2013-09-04,252.15,251.4,252.99,250.4,69.84
2013-09-03,252.05,252.43,253.37,251.49,73.56
2013-09-02,251.13,251.65,252.51,250.84,55.64
2013-08-30,251.74,250.52,251.74,249.36,68.67
2013-08-29,248.86,246.69,250.02,246.62,75.56
2013-08-28,245.67,242.7,245.78,242.54,70.69
2013-08-27,245.71,245.13,247.21,244.87,89.06
2013-08-26,245.71,244.21,246.13,244.16,78.63
2013-08-23,243.37,242.17,244.25,241.05,88.27
2013-08-22,240.37,239.93,241.63,239.01,116.92
2013-08-21,242.49,245.48,246.15,242.11,102.11
2013-08-20,245.13,247.97,249.89,244.82,89.31
2013-08-19,248.89,248.76,249.04,247.68,90.68
2013-08-16,249.23,247.12,250.36,246.76,73.76
2013-08-14,249.82,248.2,250.04,247.69,83.7
2013-08-13,248.2,245.08,248.21,244.68,115.63
2013-08-12,243.78,242.79,245.19,242.74,92.47
2013-08-09,243.13,243.51,244.43,242.42,91.84
2013-08-08,243.39,243.52,245.11,242.77,116.51
2013-08-07,242.75,244.73,245.11,242.75,103.33
2013-08-06,246.8,247.85,247.94,245.37,106.23
2013-08-05,248.25,248.92,249.66,248.21,62.22
2013-08-02,249.33,251.03,251.65,249.05,98.13
2013-08-01,248.89,248.33,249.62,246.94,91.58
2013-07-31,247.99,248.37,249.03,247.74,89.61
2013-07-30,248.78,246.78,248.81,246.47,98.47
2013-07-29,246.53,247.4,248.22,246.37,118.4
2013-07-26,247.8,248.04,248.68,246.6,98.27
2013-07-25,247.71,247.11,248.29,246.74,76.31
2013-07-24,247.84,246.61,248.17,246.16,72.12
2013-07-23,246.63,244.62,246.76,243.86,81.58
2013-07-22,243.18,243.32,245.27,242.18,81.32
2013-07-19,242.03,243.51,243.66,240.63,72.28
2013-07-18,242.92,244.09,244.41,242.25,72.85
2013-07-17,244.82,242.64,245.87,240.42,95.07
2013-07-16,242.02,243.4,243.52,241.06,58.99
2013-07-15,243.43,242.75,243.77,239.51,74.26
2013-07-12,242.72,243.28,243.33,241.74,78.66
2013-07-11,243.88,238.49,243.88,238.45,86.89
2013-07-10,236.23,237.74,237.94,235.41,59.41
2013-07-09,236.94,236.69,237.23,235.02,62.56
